Clothing,Color,Fabric/Texture,wearCount,Style,Type,Temperature,* 20 initial entries were inputted by team
tank,Black,Nylon,0,Athletic,Activewear,hot,* Other 980 entries were generated utilizing Claude LLM: Asked for sorted clothing pieces w/ 10 types of Fabric/Texture and no limits on Color/Clothing 
shorts,Cream,Cotton,0,Athletic,Activewear,hot,
Dress shirt,Blue/White,Polyester,0,Formal,Tops,warm,
Jeans,Blue,Denim,0,Casual,Bottoms,warm,
Dress pants,Green,Cotton,0,Formal,Bottoms,warm,
Winter puffer,Green,Nylon,0,Outerwear,Jackets,cold,
Tee,Black,Cotton,0,Casual,Tops,hot,
Tee,Gray,Cotton,0,Casual,Tops,hot,
Pajama shorts,Gray,Cotton,0,Loungewear,Bottoms,hot,
Pajama shirt,Blue,Cotton,0,Loungewear,Tops,warm,
Sparkly top,Black,Polyester,0,Casual,Tops,hot,
Long sleeve,Burgundy,Cotton,0,Casual,Tops,warm,
Sweatshirt,Black/White,Polyester,0,Outerwear,Jackets,cold,
Short sleeve,Cream,Silk,0,Casual,Tops,hot,
Long sleeve,Black,Silk,0,Casual,Tops,warm,
Low rise jeans,Black,Denim,0,Casual,Bottoms,cold,
Shorts,Black,Denim,0,Casual,Bottoms,hot,
Ribbed sweater,Cobalt,Cotton,0,Casual,Tops,cold,
Tennis skirt,Sage,Polyester,0,Athletic,Bottoms,hot,
Track pants,Denim Blue,Spandex,0,Athletic,Bottoms,cold,
Pajama shorts,Checkered Black/White,Spandex,0,Loungewear,Bottoms,hot,
Varsity jacket,Black/White,Cotton,0,Outerwear,Jackets,cold,
Oxford shirt,Navy,Silk,0,Formal,Tops,warm,
Chinos,Camouflage Green,Cotton,0,Casual,Bottoms,warm,
Anorak,Rust,Nylon,0,Athletic,Jackets,cold,
Casual dress,Yellow,Leather,0,Casual,Dresses,warm,
Military jacket,Sage,Cotton,0,Outerwear,Jackets,cold,
Racerback tank,Burgundy,Spandex,0,Athletic,Activewear,hot,
Thermal leggings,Sage,Cotton,0,Athletic,Activewear,cold,
Joggers,Plum,Spandex,0,Athletic,Bottoms,warm,
Henley,Hot Pink,Spandex,0,Casual,Tops,hot,
High waist pants,Violet,Wool,0,Casual,Bottoms,cold,
Formal blouse,Ivory,Leather,0,Formal,Tops,cold,
Zip-up hoodie,Royal Blue,Nylon,0,Outerwear,Jackets,cold,
Bodysuit,Color Block Navy/White,Fleece,0,Casual,Dresses,cold,
Cable knit sweater,Pink,Polyester,0,Casual,Tops,cold,
Fleece robe,Brown,Polyester,0,Loungewear,Jackets,cold,
Colorblock sweater,Mustard,Fleece,0,Casual,Tops,cold,
Bodysuit,Mustard,Spandex,0,Casual,Dresses,warm,
Shirt dress,Sage,Leather,0,Casual,Dresses,cold,
Fair Isle sweater,Pink,Linen,0,Casual,Tops,cold,
Mini dress,Mauve,Polyester,0,Casual,Dresses,warm,
Pajama pants,Forest Green,Nylon,0,Loungewear,Bottoms,warm,
Cropped cardigan,Maroon,Polyester,0,Outerwear,Jackets,warm,
Yoga shorts,Lime,Linen,0,Athletic,Activewear,hot,
Floral jumpsuit,Hot Pink,Wool,0,Casual,Dresses,cold,
Ribbed sweater,Color Block Black/Red,Silk,0,Casual,Tops,cold,
Sleep shirt,Lavender,Polyester,0,Loungewear,Tops,hot,
Cargo pants,Cream,Nylon,0,Casual,Bottoms,warm,
Floral dress,Forest Green,Cotton,0,Casual,Dresses,warm,
Distressed jeans,Purple,Silk,0,Casual,Bottoms,warm,
Cashmere sweater,Floral Multicolor,Wool,0,Casual,Tops,cold,
Oversized sweater,Blue/White,Linen,0,Casual,Tops,cold,
Denim shorts,Denim Blue,Denim,0,Casual,Bottoms,hot,
Running shirt,Color Block Black/Red,Polyester,0,Athletic,Activewear,hot,
Denim shorts,Black/White,Silk,0,Casual,Bottoms,hot,
Sundress,Yellow,Denim,0,Casual,Dresses,warm,
Denim jacket,Floral Multicolor,Spandex,0,Outerwear,Jackets,cold,
Gym tank,Beige,Denim,0,Athletic,Activewear,hot,
Striped tee,Burgundy,Leather,0,Casual,Tops,hot,
Cardigan,Brown,Leather,0,Outerwear,Jackets,cold,
Shirt dress,Striped Black/White,Cotton,0,Casual,Dresses,warm,
Wide leg pants,Color Block Navy/White,Cotton,0,Casual,Bottoms,warm,
Pajama set,Cobalt,Polyester,0,Loungewear,Tops,warm,
Training shorts,Forest Green,Wool,0,Athletic,Activewear,hot,
Peplum top,Teal,Spandex,0,Casual,Tops,warm,
Workout top,Blue/White,Cotton,0,Athletic,Activewear,hot,
Compression shorts,Olive,Fleece,0,Athletic,Activewear,hot,
Performance jacket,Wine,Polyester,0,Athletic,Activewear,cold,
Off-shoulder top,Turquoise,Silk,0,Casual,Tops,cold,
Cropped cardigan,Rust,Cotton,0,Outerwear,Jackets,cold,
Midi dress,Burgundy,Nylon,0,Casual,Dresses,warm,
One-piece swimsuit,Zebra Print,Cotton,0,Athletic,Activewear,hot,
Open front cardigan,Lavender,Spandex,0,Outerwear,Jackets,cold,
Button-down shirt,Cobalt,Spandex,0,Casual,Tops,warm,
Formal blouse,Aqua,Polyester,0,Formal,Tops,cold,
Halter top,Gold,Nylon,0,Casual,Tops,hot,
Long sleeve,Plaid Blue/Green,Cotton,0,Casual,Tops,warm,
Racerback tank,Houndstooth Black/White,Denim,0,Athletic,Activewear,hot,
Cowl neck top,Striped Navy/White,Linen,0,Casual,Tops,warm,
Denim shorts,Zebra Print,Silk,0,Casual,Bottoms,hot,
Distressed jeans,Checkered Black/White,Polyester,0,Casual,Bottoms,cold,
Thermal pajamas,Aqua,Nylon,0,Loungewear,Tops,cold,
Pajama pants,Blush,Fleece,0,Loungewear,Bottoms,cold,
Faux leather jacket,Black/Gray,Denim,0,Outerwear,Jackets,cold,
Palazzo pants,Yellow,Cotton,0,Casual,Bottoms,warm,
Leggings,Gray,Silk,0,Athletic,Bottoms,cold,
Military jacket,Yellow,Cotton,0,Outerwear,Jackets,cold,
Wrap blouse,Tan,Silk,0,Casual,Tops,warm,
Ruffle blouse,Cream,Nylon,0,Casual,Tops,warm,
Wrap blouse,Tie-Dye Multicolor,Spandex,0,Casual,Tops,warm,
Board shorts,Plaid Blue/Green,Silk,0,Athletic,Activewear,hot,
Pullover hoodie,Light Blue,Leather,0,Outerwear,Jackets,cold,
Linen pants,Striped Navy/White,Linen,0,Casual,Bottoms,warm,
Boyfriend jeans,Blue,Spandex,0,Casual,Bottoms,cold,
Pullover sweater,Navy/White,Wool,0,Casual,Tops,cold,
Linen dress,Peach,Leather,0,Casual,Dresses,cold,
Yoga shorts,Beige,Spandex,0,Athletic,Activewear,hot,
Camisole,Salmon,Leather,0,Casual,Tops,hot,
Evening gown,Sky Blue,Wool,0,Formal,Dresses,cold,
Low rise jeans,Orange,Polyester,0,Casual,Bottoms,cold,
Overalls,Denim Blue,Fleece,0,Casual,Dresses,cold,
Wide leg jeans,Sage,Leather,0,Casual,Bottoms,cold,
Palazzo pants,Caramel,Linen,0,Casual,Bottoms,warm,
Formal blouse,Color Block Navy/White,Spandex,0,Formal,Tops,cold,
Crop top,Checkered Black/White,Cotton,0,Casual,Tops,hot,
Henley,Gold,Silk,0,Casual,Tops,warm,
Formal gown,Plaid Blue/Green,Leather,0,Formal,Dresses,cold,
Distressed jeans,Salmon,Polyester,0,Casual,Bottoms,hot,
Zip-up top,Hot Pink,Cotton,0,Casual,Tops,cold,
A-line dress,Olive,Leather,0,Casual,Dresses,warm,
